name	virus	date	region	country	db	segment	host	authors	url
AY358025	marburg	1975	Africa	South Africa	genbank	genome	Homo Sapiens		https://www.ncbi.nlm.nih.gov/nuccore/AY358025
KY047763	marburg	2005	Africa	Angola	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/KY047763
NC_024781	ravn	1987	Africa	Kenya	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/NC_024781
KU179482	ravn	1987-08-19	Africa	Kenya	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/KU179482
KC545387	marburg	2012	Africa	Uganda	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/KC545387
KC545388	marburg	2012	Africa	Uganda	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/KC545388
JX458827	marburg	2000	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458827
JX458828	marburg	2000	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458828
JX458829	marburg	2000	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458829
JX458830	marburg	1999	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458830
JX458831	marburg	2000	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458831
JX458832	marburg	2000	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458832
JX458833	marburg	1999	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458833
JX458834	marburg	2000	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458834
JX458835	marburg	2000	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458835
JX458836	marburg	2000	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458836
JX458837	marburg	2000	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458837
JX458838	marburg	2000	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458838
JX458839	marburg	2000	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458839
JX458840	marburg	2000	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458840
JX458841	marburg	2000	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458841
JX458842	marburg	2000	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458842
JX458843	marburg	2000	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458843
JX458844	marburg	2000	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458844
JX458845	marburg	2000	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458845
JX458846	marburg	2000	Africa	Democratic Republic of the Congo	genbank	genome	Homo sapiens		https://www.ncbi.nlm.nih.gov/nuccore/JX458846
